Radius,225AMA_1500x_i1_T7_Radius Histo.csv,225AMA_1500x_i2_M5_Radius Histo.csv,225AMA_1500x_i3_M1_Radius Histo.csv,225AMB_1500x_i1_T7_Radius Histo.csv,225AMB_1500x_i2_T7_Radius Histo.csv,225AMB_1500x_i3_T6_Radius Histo.csv,225ASB_1500x_i2_T7_Radius Histo.csv,231AMA_1500x_i1_T7_Radius Histo.csv,231AMA_1500x_i2_T7_Radius Histo.csv,231AMA_1500x_i3_T7_Radius Histo.csv,231AMB_1500x_i1_T7_Radius Histo.csv,231AMB_1500x_i2_T7_Radius Histo.csv,231AMB_1500x_i3_T7_Radius Histo.csv,231ASA_1500x_i1_T7_Radius Histo.csv,231ASA_1500x_i2_T7_Radius Histo.csv,231ASA_1500x_i3_T7_Radius Histo.csv,231ASB_1500x_i1_T7_Radius Histo.csv,231ASB_1500x_i2_T7_Radius Histo.csv,231ASB_1500x_i3_T7_Radius Histo.csv,PV16-216MA_1500x_i1_T7_Radius Histo.csv,PV16-216MA_1500x_i2_T7_Radius Histo.csv,PV16-216MA_1500x_i3_T7_Radius Histo.csv,PV16-216MB_1500x_i1_T7_Radius Histo.csv,PV16-216MB_1500x_i2_T7_Radius Histo.csv,PV16-216MB_1500x_i3_T7_Radius Histo.csv,PV16-216SA_1500x_i1_T7_Radius Histo.csv,PV16-216SA_1500x_i2_T7_Radius Histo.csv,PV16-216SA_1500x_i3_T7_Radius Histo.csv,PV16-216SB_1500x_i1_T7_Radius Histo.csv,PV16-216SB_1500x_i2_T7_Radius Histo.csv,PV16-216SB_1500x_i3_T7_Radius Histo.csv,PV16-481MA_1500x_i1_T7_Radius Histo.csv,PV16-481MA_1500x_i2_T7_Radius Histo.csv,PV16-481MA_1500x_i3_T7_Radius Histo.csv,PV16-481MB_1500x_i1_T7_Radius Histo.csv,PV16-481MB_1500x_i2_T7_Radius Histo.csv,PV16-481MB_1500x_i3_T7_Radius Histo.csv,PV16-481SA_1500x_i1_T7_Radius Histo.csv,PV16-481SA_1500x_i2_T7_Radius Histo.csv,PV16-481SA_1500x_i3_T7_Radius Histo.csv,PV16-481SB_1500x_i1_T7_Radius Histo.csv,PV16-481SB_1500x_i2_T7_Radius Histo.csv,PV16-481SB_1500x_i3_T7_Radius Histo.csv,Sum_of_Frequencies,Average Cumulative Diameter,Cumulative Diameter SD,Cumulative Diameter Skewness,Cumulative Diameter Kurtosis
2.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
2.4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
2.4667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
2.5333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
2.6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
2.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
2.7333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
2.8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
2.8667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
2.9333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
